ConsumoKWh, Classificação
174.47,Médio consumo
58.2,Baixo consumo
423.26,Alto consumo
125.32,Baixo consumo
131.52,Baixo consumo
97.47,Baixo consumo
350.83,Alto consumo
497.98,Alto consumo
396.45,Alto consumo
283.78,Médio consumo
435.59,Alto consumo
439.65,Alto consumo
286.47,Médio consumo
294.27,Médio consumo
338.12,Alto consumo
226.08,Médio consumo
87.25,Baixo consumo
492.01,Alto consumo
295.44,Médio consumo
316.81,Alto consumo
422.82,Alto consumo
234.55,Médio consumo
418.54,Alto consumo
104.79,Baixo consumo
463.82,Alto consumo
369.14,Alto consumo
385.8,Alto consumo
155.75,Médio consumo
303.41,Alto consumo
229.81,Médio consumo
370.21,Alto consumo
351.15,Alto consumo
183.27,Médio consumo
96.22,Baixo consumo
438.26,Alto consumo
394.91,Alto consumo
105.61,Baixo consumo
341.15,Alto consumo
102.45,Baixo consumo
394.03,Alto consumo
312.63,Alto consumo
230.28,Médio consumo
451.02,Alto consumo
118.93,Baixo consumo
312.76,Alto consumo
312.74,Alto consumo
124.34,Baixo consumo
248.74,Médio consumo
379.04,Alto consumo
479.0,Alto consumo
261.07,Médio consumo
401.7,Alto consumo
181.16,Médio consumo
231.62,Médio consumo
225.85,Médio consumo
116.8,Baixo consumo
329.35,Alto consumo
210.12,Médio consumo
439.83,Alto consumo
91.04,Baixo consumo
480.54,Alto consumo
488.94,Alto consumo
413.67,Alto consumo
359.38,Alto consumo
100.66,Baixo consumo
494.92,Alto consumo
65.87,Baixo consumo
108.27,Baixo consumo
221.19,Médio consumo
445.26,Alto consumo
148.91,Baixo consumo
240.8,Médio consumo
396.2,Alto consumo
132.18,Baixo consumo
489.45,Alto consumo
72.58,Baixo consumo
451.1,Alto consumo
478.38,Alto consumo
254.05,Médio consumo
482.7,Alto consumo
174.44,Médio consumo
173.8,Médio consumo
326.41,Alto consumo
177.06,Médio consumo
133.09,Baixo consumo
427.25,Alto consumo
229.99,Médio consumo
368.62,Alto consumo
420.84,Alto consumo
384.7,Alto consumo
439.8,Alto consumo
55.58,Baixo consumo
141.73,Baixo consumo
414.39,Alto consumo
382.0,Alto consumo
143.76,Baixo consumo
206.79,Médio consumo
186.46,Médio consumo
475.31,Alto consumo
463.25,Alto consumo
392.2,Alto consumo
271.79,Médio consumo
326.08,Alto consumo
123.63,Baixo consumo
155.71,Médio consumo
279.6,Médio consumo
374.2,Alto consumo
160.63,Médio consumo
175.06,Médio consumo
79.17,Baixo consumo
174.17,Médio consumo
246.85,Médio consumo
340.29,Alto consumo
317.62,Alto consumo
494.31,Alto consumo
441.65,Alto consumo
159.89,Médio consumo
277.02,Médio consumo
227.9,Médio consumo
136.05,Baixo consumo
224.52,Médio consumo
472.33,Alto consumo
461.82,Alto consumo
390.75,Alto consumo
144.92,Baixo consumo
487.53,Alto consumo
456.59,Alto consumo
233.69,Médio consumo
232.04,Médio consumo
138.81,Baixo consumo
185.82,Médio consumo
204.13,Médio consumo
61.74,Baixo consumo
204.08,Médio consumo
169.09,Médio consumo
267.19,Médio consumo
357.99,Alto consumo
214.66,Médio consumo
258.98,Médio consumo
153.37,Médio consumo
184.73,Médio consumo
300.31,Alto consumo
380.25,Alto consumo
171.26,Médio consumo
98.95,Baixo consumo
357.11,Alto consumo
388.41,Alto consumo
416.15,Alto consumo
131.15,Baixo consumo
316.71,Alto consumo
232.91,Médio consumo
340.41,Alto consumo
438.64,Alto consumo
160.07,Médio consumo
126.79,Baixo consumo
142.6,Baixo consumo
363.86,Alto consumo
440.05,Alto consumo
349.99,Alto consumo
52.42,Baixo consumo
151.5,Médio consumo
448.18,Alto consumo
151.48,Médio consumo
350.19,Alto consumo
486.5,Alto consumo
166.69,Médio consumo
156.31,Médio consumo
396.79,Alto consumo
87.57,Baixo consumo
200.51,Médio consumo
199.89,Médio consumo
363.54,Alto consumo
499.51,Alto consumo
479.23,Alto consumo
162.22,Médio consumo
265.35,Médio consumo
149.51,Baixo consumo
207.18,Médio consumo
364.09,Alto consumo
206.05,Médio consumo
92.36,Baixo consumo
72.45,Baixo consumo
163.26,Médio consumo
233.19,Médio consumo
308.56,Alto consumo
336.93,Alto consumo
320.52,Alto consumo
358.61,Alto consumo
311.87,Alto consumo
54.38,Baixo consumo
341.78,Alto consumo
420.76,Alto consumo
158.19,Médio consumo
252.38,Médio consumo
324.82,Alto consumo
114.26,Baixo consumo
427.15,Alto consumo
339.94,Alto consumo
373.11,Alto consumo
496.95,Alto consumo
128.52,Baixo consumo
265.11,Médio consumo
352.66,Alto consumo
239.69,Médio consumo
57.45,Baixo consumo
54.48,Baixo consumo
379.54,Alto consumo
145.44,Baixo consumo
321.46,Alto consumo
86.14,Baixo consumo
95.69,Baixo consumo
126.02,Baixo consumo
300.58,Alto consumo
101.83,Baixo consumo
149.4,Baixo consumo
260.36,Médio consumo
75.13,Baixo consumo
281.93,Médio consumo
296.55,Médio consumo
171.13,Médio consumo
268.12,Médio consumo
337.67,Alto consumo
245.77,Médio consumo
481.67,Alto consumo
397.71,Alto consumo
448.97,Alto consumo
86.77,Baixo consumo
64.29,Baixo consumo
345.98,Alto consumo
188.24,Médio consumo
120.44,Baixo consumo
384.03,Alto consumo
356.71,Alto consumo
462.68,Alto consumo
461.85,Alto consumo
197.13,Médio consumo
412.1,Alto consumo
329.67,Alto consumo
216.08,Médio consumo
73.71,Baixo consumo
288.28,Médio consumo
187.65,Médio consumo
78.04,Baixo consumo
387.87,Alto consumo
291.86,Médio consumo
407.66,Alto consumo
54.78,Baixo consumo
200.73,Médio consumo
193.28,Médio consumo
53.77,Baixo consumo
132.69,Baixo consumo
306.54,Alto consumo
153.81,Médio consumo
340.39,Alto consumo
140.78,Baixo consumo
493.84,Alto consumo
131.53,Baixo consumo
163.18,Médio consumo
356.79,Alto consumo
454.93,Alto consumo
121.68,Baixo consumo
453.79,Alto consumo
303.61,Alto consumo
57.24,Baixo consumo
355.17,Alto consumo
74.75,Baixo consumo
158.95,Médio consumo
145.22,Baixo consumo
374.64,Alto consumo
214.01,Médio consumo
464.43,Alto consumo
343.66,Alto consumo
374.42,Alto consumo
305.28,Alto consumo
383.31,Alto consumo
163.83,Médio consumo
201.77,Médio consumo
332.8,Alto consumo
105.03,Baixo consumo
435.99,Alto consumo
468.06,Alto consumo
468.61,Alto consumo
203.74,Médio consumo
281.87,Médio consumo
215.79,Médio consumo
307.85,Alto consumo
137.1,Baixo consumo
139.68,Baixo consumo
237.39,Médio consumo
188.92,Médio consumo
187.48,Médio consumo
403.87,Alto consumo
63.37,Baixo consumo
57.5,Baixo consumo
94.05,Baixo consumo
471.37,Alto consumo
172.04,Médio consumo
162.27,Médio consumo
130.94,Baixo consumo
164.64,Médio consumo
111.52,Baixo consumo
426.71,Alto consumo
163.3,Médio consumo
387.08,Alto consumo
160.34,Médio consumo
246.36,Médio consumo
263.36,Médio consumo
348.95,Alto consumo
323.41,Alto consumo
478.71,Alto consumo
467.8,Alto consumo
141.02,Baixo consumo
261.3,Médio consumo
325.92,Alto consumo
319.39,Alto consumo
73.64,Baixo consumo
221.93,Médio consumo
167.68,Médio consumo
78.78,Baixo consumo
205.72,Médio consumo
299.22,Médio consumo
276.95,Médio consumo
76.76,Baixo consumo
162.27,Médio consumo
116.66,Baixo consumo
134.31,Baixo consumo
247.53,Médio consumo
351.09,Alto consumo
124.05,Baixo consumo
351.69,Alto consumo
374.91,Alto consumo
489.28,Alto consumo
396.6,Alto consumo
268.84,Médio consumo
136.58,Baixo consumo
78.03,Baixo consumo
138.48,Baixo consumo
219.1,Médio consumo
416.51,Alto consumo
175.62,Médio consumo
127.28,Baixo consumo
134.69,Baixo consumo
80.08,Baixo consumo
83.86,Baixo consumo
219.12,Médio consumo
150.62,Médio consumo
358.42,Alto consumo
179.53,Médio consumo
337.47,Alto consumo
177.83,Médio consumo
280.58,Médio consumo
135.64,Baixo consumo
153.87,Médio consumo
371.5,Alto consumo
331.03,Alto consumo
261.32,Médio consumo
154.35,Médio consumo
275.01,Médio consumo
99.99,Baixo consumo
155.08,Médio consumo
288.39,Médio consumo
90.23,Baixo consumo
306.1,Alto consumo
265.84,Médio consumo
485.25,Alto consumo
150.23,Médio consumo
443.77,Alto consumo
301.43,Alto consumo
65.94,Baixo consumo
69.88,Baixo consumo
113.69,Baixo consumo
204.55,Médio consumo
79.5,Baixo consumo
394.88,Alto consumo
95.87,Baixo consumo
73.84,Baixo consumo
473.37,Alto consumo
468.88,Alto consumo
151.99,Médio consumo
173.66,Médio consumo
291.75,Médio consumo
90.23,Baixo consumo
490.69,Alto consumo
116.67,Baixo consumo
458.05,Alto consumo
323.72,Alto consumo
275.59,Médio consumo
93.35,Baixo consumo
338.23,Alto consumo
362.15,Alto consumo
79.39,Baixo consumo
127.77,Baixo consumo
209.23,Médio consumo
445.08,Alto consumo
375.69,Alto consumo
401.64,Alto consumo
233.74,Médio consumo
423.95,Alto consumo
422.1,Alto consumo
275.81,Médio consumo
84.22,Baixo consumo
473.24,Alto consumo
289.47,Médio consumo
378.57,Alto consumo
86.43,Baixo consumo
245.32,Médio consumo
317.3,Alto consumo
402.48,Alto consumo
377.36,Alto consumo
168.32,Médio consumo
338.01,Alto consumo
249.76,Médio consumo
94.69,Baixo consumo
214.85,Médio consumo
394.78,Alto consumo
190.21,Médio consumo
178.84,Médio consumo
159.14,Médio consumo
430.05,Alto consumo
398.59,Alto consumo
179.46,Médio consumo
363.39,Alto consumo
270.45,Médio consumo
347.82,Alto consumo
196.76,Médio consumo
94.07,Baixo consumo
172.28,Médio consumo
252.39,Médio consumo
479.65,Alto consumo
105.0,Baixo consumo
199.36,Médio consumo
218.32,Médio consumo
63.28,Baixo consumo
122.03,Baixo consumo
496.56,Alto consumo
465.82,Alto consumo
258.26,Médio consumo
56.6,Baixo consumo
423.74,Alto consumo
351.92,Alto consumo
390.05,Alto consumo
236.4,Médio consumo
87.5,Baixo consumo
122.94,Baixo consumo
132.66,Baixo consumo
94.03,Baixo consumo
335.4,Alto consumo
272.85,Médio consumo
134.13,Baixo consumo
306.23,Alto consumo
55.36,Baixo consumo
432.42,Alto consumo
258.88,Médio consumo
265.13,Médio consumo
456.32,Alto consumo
332.48,Alto consumo
135.14,Baixo consumo
155.51,Médio consumo
423.8,Alto consumo
404.24,Alto consumo
161.23,Médio consumo
306.01,Alto consumo
281.76,Médio consumo
253.73,Médio consumo
252.96,Médio consumo
211.09,Médio consumo
216.37,Médio consumo
106.93,Baixo consumo
192.16,Médio consumo
240.32,Médio consumo
379.44,Alto consumo
383.72,Alto consumo
126.93,Baixo consumo
480.28,Alto consumo
433.37,Alto consumo
458.65,Alto consumo
213.62,Médio consumo
460.81,Alto consumo
80.94,Baixo consumo
431.33,Alto consumo
129.15,Baixo consumo
293.78,Médio consumo
490.11,Alto consumo
106.38,Baixo consumo
343.94,Alto consumo
258.47,Médio consumo
391.5,Alto consumo
79.63,Baixo consumo
51.94,Baixo consumo
339.98,Alto consumo
425.34,Alto consumo
499.81,Alto consumo
410.69,Alto consumo
399.35,Alto consumo
447.91,Alto consumo
441.26,Alto consumo
406.32,Alto consumo
332.12,Alto consumo
187.27,Médio consumo
342.06,Alto consumo
399.65,Alto consumo
331.87,Alto consumo
275.96,Médio consumo
377.38,Alto consumo
385.88,Alto consumo
82.82,Baixo consumo
318.06,Alto consumo
248.77,Médio consumo
396.71,Alto consumo
183.42,Médio consumo
80.19,Baixo consumo
199.81,Médio consumo
169.04,Médio consumo
95.98,Baixo consumo
209.51,Médio consumo
299.49,Médio consumo
391.59,Alto consumo
308.54,Alto consumo
429.47,Alto consumo
352.14,Alto consumo
441.85,Alto consumo
271.69,Médio consumo
425.7,Alto consumo
60.81,Baixo consumo
56.28,Baixo consumo
187.84,Médio consumo
270.87,Médio consumo
395.08,Alto consumo
231.85,Médio consumo
158.82,Médio consumo
71.79,Baixo consumo
496.75,Alto consumo
162.9,Médio consumo
238.14,Médio consumo
446.46,Alto consumo
281.16,Médio consumo
227.37,Médio consumo
144.45,Baixo consumo
289.14,Médio consumo
431.3,Alto consumo
368.41,Alto consumo
205.38,Médio consumo
148.29,Baixo consumo
98.52,Baixo consumo
159.8,Médio consumo
225.41,Médio consumo
339.56,Alto consumo
345.74,Alto consumo
210.02,Médio consumo
191.55,Médio consumo
139.24,Baixo consumo
57.69,Baixo consumo
218.7,Médio consumo
416.7,Alto consumo
134.05,Baixo consumo
176.64,Médio consumo
88.49,Baixo consumo
93.04,Baixo consumo
279.61,Médio consumo
134.54,Baixo consumo
127.53,Baixo consumo
280.71,Médio consumo
249.99,Médio consumo
126.19,Baixo consumo
85.59,Baixo consumo
385.18,Alto consumo
471.42,Alto consumo
417.99,Alto consumo
186.42,Médio consumo
125.7,Baixo consumo
167.6,Médio consumo
